Item,Description,Quantity,Unit,Status,Supplier,Part_Number,URL
Heated Insert Tool,Heated insert tool / soldering iron,1,pcs,Already have,,,
Brass Heat-Set Threaded Inserts Kit,FFVRVSS 600+7Pc M2/M2.5/M3/M4/M5/M6 brass threaded insert assortment with heat-set tips/tools,1,kit,To purchase,Amazon,B0FWCHPY4F,https://www.amazon.com/FFVRVSS-M2-M3-Threaded-Inserts/dp/B0FWCHPY4F
